"tick";"NormativeNetworkCardinality";"NormativeSystemMinimality";"NormativeSystemFitoussiMinimality";"AvgNonRegulatedCollisions"
1;197.0;60;7;22;0.0
1;198.0;60;7;22;0.0
1;199.0;60;7;22;0.0
1;200.0;60;7;22;0.0
1;201.0;60;7;22;0.0
1;202.0;60;7;22;0.0
1;203.0;60;7;22;0.0
1;204.0;60;7;22;0.0
1;205.0;60;7;22;0.0
1;206.0;60;7;22;0.0
1;207.0;60;7;22;0.0
1;208.0;60;7;22;0.0
1;209.0;60;7;22;0.0
1;210.0;60;7;22;0.0
1;211.0;60;7;22;0.0
1;212.0;60;7;22;0.0
1;213.0;60;7;22;0.0
1;214.0;60;7;22;0.0
1;215.0;60;7;22;0.0
1;216.0;60;7;22;0.0
1;217.0;60;7;22;0.0
1;218.0;60;7;22;0.0
1;219.0;60;7;22;0.0
1;220.0;60;7;22;0.0
1;221.0;60;7;22;0.0
1;222.0;60;7;22;0.0
1;223.0;60;7;22;0.0
1;224.0;60;7;22;0.0
1;225.0;60;7;22;0.0
1;226.0;60;7;22;0.0
1;227.0;60;7;22;0.0
1;228.0;60;7;22;0.0
1;229.0;60;7;22;0.0
1;230.0;60;7;22;0.0
1;231.0;60;7;22;0.0
1;232.0;60;7;22;0.0
1;233.0;60;7;22;0.0
1;234.0;60;7;22;0.0
1;235.0;60;7;22;0.0
1;236.0;60;7;22;0.0
1;237.0;60;7;22;0.0
1;238.0;60;7;22;0.0
1;239.0;60;7;22;0.0
1;240.0;60;7;22;0.0
1;241.0;60;7;22;0.0
1;242.0;60;7;22;0.0
1;243.0;60;7;22;0.0
1;244.0;60;7;22;0.0
1;245.0;60;7;22;0.0
1;246.0;60;7;22;0.0
1;247.0;60;7;22;0.0
1;248.0;60;7;22;0.0
1;249.0;60;7;22;0.0
1;250.0;60;7;22;0.0
1;251.0;60;7;22;0.0
1;252.0;60;7;22;0.0
1;253.0;60;7;22;0.0
1;254.0;60;7;22;0.0
1;255.0;60;7;22;0.0
1;256.0;60;7;22;0.0
1;257.0;60;7;22;0.0
1;258.0;60;7;22;0.0
1;259.0;60;7;22;0.0
1;260.0;60;7;22;0.0
1;261.0;60;7;22;0.0
1;262.0;60;7;22;0.0
1;263.0;60;7;22;0.0
1;264.0;60;7;22;0.0
1;265.0;60;7;22;0.0
1;266.0;60;7;22;0.0
1;267.0;60;7;22;0.0
1;268.0;60;7;22;0.0
1;269.0;60;7;22;0.0
1;270.0;60;7;22;0.0
1;271.0;60;7;22;0.0
1;272.0;60;7;22;0.0
1;273.0;60;7;22;0.0
1;274.0;60;7;22;0.0
1;275.0;60;7;22;0.0
1;276.0;60;7;22;0.0
1;277.0;60;7;22;0.0
1;278.0;60;7;22;0.0
1;279.0;60;7;22;0.0
1;280.0;60;7;22;0.0
1;281.0;60;7;22;0.0
1;282.0;60;7;22;0.0
1;283.0;60;7;22;0.0
1;284.0;60;7;22;0.0
1;285.0;60;7;22;0.0
1;286.0;60;7;22;0.0
1;287.0;60;7;22;0.0
1;288.0;60;7;22;0.0
1;289.0;60;7;22;0.0
1;290.0;60;7;22;0.0
1;291.0;60;7;22;0.0
1;292.0;60;7;22;0.0
1;293.0;60;7;22;0.0
1;294.0;60;7;22;0.0
1;295.0;60;7;22;0.0
1;296.0;60;7;22;0.0
1;297.0;60;7;22;0.0
1;298.0;60;7;22;0.0
1;299.0;60;7;22;0.0
1;300.0;60;7;22;0.0
1;301.0;60;7;22;0.0
1;302.0;60;7;22;0.0
1;303.0;60;7;22;0.0
1;304.0;60;7;22;0.0
1;305.0;60;7;22;0.0
1;306.0;60;7;22;0.0
1;307.0;60;7;22;0.0
1;308.0;60;7;22;0.0
1;309.0;60;7;22;0.0
1;310.0;60;7;22;0.0
1;311.0;60;7;22;0.0
1;312.0;60;7;22;0.0
1;313.0;60;7;22;0.0
1;314.0;60;7;22;0.0
1;315.0;60;7;22;0.0
1;316.0;60;7;22;0.0
1;317.0;60;7;22;0.0
1;318.0;60;7;22;0.0
1;319.0;60;7;22;0.0
1;320.0;60;7;22;0.0
1;321.0;60;7;22;0.0
1;322.0;60;7;22;0.0
1;323.0;60;7;22;0.0
1;324.0;60;7;22;0.0
1;325.0;60;7;22;0.0
1;326.0;60;7;22;0.0
1;327.0;60;7;22;0.0
1;328.0;60;7;22;0.0
1;329.0;60;7;22;0.0
1;330.0;60;7;22;0.0
1;331.0;60;7;22;0.0
1;332.0;60;7;22;0.0
1;333.0;60;7;22;0.0
1;334.0;60;7;22;0.0
1;335.0;60;7;22;0.0
1;336.0;60;7;22;0.0
1;337.0;60;7;22;0.0
1;338.0;60;7;22;0.0
1;339.0;60;7;22;0.0
1;340.0;60;7;22;0.0
1;341.0;60;7;22;0.0
1;342.0;60;7;22;0.0
1;343.0;60;7;22;0.0
1;344.0;60;7;22;0.0
1;345.0;60;7;22;0.0
1;346.0;60;7;22;0.0
1;347.0;60;7;22;0.0
1;348.0;60;7;22;0.0
1;349.0;60;7;22;0.0
1;350.0;60;7;22;0.0
1;351.0;60;7;22;0.0
1;352.0;60;7;22;0.0
1;353.0;60;7;22;0.0
1;354.0;60;7;22;0.0
1;355.0;60;7;22;0.0
1;356.0;60;7;22;0.0
1;357.0;60;7;22;0.0
1;358.0;60;7;22;0.0
1;359.0;60;7;22;0.0
1;360.0;60;7;22;0.0
1;361.0;60;7;22;0.0
1;362.0;60;7;22;0.0
1;363.0;60;7;22;0.0
1;364.0;60;7;22;0.0
1;365.0;60;7;22;0.0
1;366.0;60;7;22;0.0
1;367.0;60;7;22;0.0
1;368.0;60;7;22;0.0
1;369.0;60;7;22;0.0
1;370.0;60;7;22;0.0
1;371.0;60;7;22;0.0
1;372.0;60;7;22;0.0
1;373.0;60;7;22;0.0
1;374.0;60;7;22;0.0
1;375.0;60;7;22;0.0
1;376.0;60;7;22;0.0
1;377.0;60;7;22;0.0
1;378.0;60;7;22;0.0
1;379.0;60;7;22;0.0
1;380.0;60;7;22;0.0
1;381.0;60;7;22;0.0
1;382.0;60;7;22;0.0
1;383.0;60;7;22;0.0
1;384.0;60;7;22;0.0
1;385.0;60;7;22;0.0
1;386.0;60;7;22;0.0
1;387.0;60;7;22;0.0
1;388.0;60;7;22;0.0
1;389.0;60;7;22;0.0
1;390.0;60;7;22;0.0
1;391.0;60;7;22;0.0
1;392.0;60;7;22;0.0
1;393.0;60;7;22;0.0
1;394.0;60;7;22;0.0
1;395.0;60;7;22;0.0
1;396.0;60;7;22;0.0
1;397.0;60;7;22;0.0
1;398.0;60;7;22;0.0
1;399.0;60;7;22;0.0
1;400.0;60;7;22;0.0
1;401.0;60;7;22;0.0
1;402.0;60;7;22;0.0
1;403.0;60;7;22;0.0
1;404.0;60;7;22;0.0
1;405.0;60;7;22;0.0
1;406.0;60;7;22;0.0
1;407.0;60;7;22;0.0
1;408.0;60;7;22;0.0
1;409.0;60;7;22;0.0
1;410.0;60;7;22;0.0
1;411.0;60;7;22;0.0
1;412.0;60;7;22;0.0
1;413.0;60;7;22;0.0
1;414.0;60;7;22;0.0
1;415.0;60;7;22;0.0
1;416.0;60;7;22;0.0
1;417.0;60;7;22;0.0
1;418.0;60;7;22;0.0
1;419.0;60;7;22;0.0
1;420.0;60;7;22;0.0
1;421.0;60;7;22;0.0
1;422.0;60;7;22;0.0
1;423.0;60;7;22;0.0
1;424.0;60;7;22;0.0
1;425.0;60;7;22;0.0
1;426.0;60;7;22;0.0
1;427.0;60;7;22;0.0
1;428.0;60;7;22;0.0
1;429.0;60;7;22;0.0
1;430.0;60;7;22;0.0
1;431.0;60;7;22;0.0
1;432.0;60;7;22;0.0
1;433.0;60;7;22;0.0
1;434.0;60;7;22;0.0
1;435.0;60;7;22;0.0
1;436.0;60;7;22;0.0
1;437.0;60;7;22;0.0
1;438.0;60;7;22;0.0
1;439.0;60;7;22;0.0
1;440.0;60;7;22;0.0
1;441.0;60;7;22;0.0
1;442.0;60;7;22;0.0
1;443.0;60;7;22;0.0
1;444.0;60;7;22;0.0
1;445.0;60;7;22;0.0
1;446.0;60;7;22;0.0
1;447.0;60;7;22;0.0
1;448.0;60;7;22;0.0
1;449.0;60;7;22;0.0
1;450.0;60;7;22;0.0
1;451.0;60;7;22;0.0
1;452.0;60;7;22;0.0
1;453.0;60;7;22;0.0
1;454.0;60;7;22;0.0
1;455.0;60;7;22;0.0
1;456.0;60;7;22;0.0
1;457.0;60;7;22;0.0
1;458.0;60;7;22;0.0
1;459.0;60;7;22;0.0
1;460.0;60;7;22;0.0
1;461.0;60;7;22;0.0
1;462.0;60;7;22;0.0
1;463.0;60;7;22;0.0
1;464.0;60;7;22;0.0
1;465.0;60;7;22;0.0
1;466.0;60;7;22;0.0
1;467.0;60;7;22;0.0
1;468.0;60;7;22;0.0
1;469.0;60;7;22;0.0
1;470.0;60;7;22;0.0
1;471.0;60;7;22;0.0
1;472.0;60;7;22;0.0
1;473.0;60;7;22;0.0
1;474.0;60;7;22;0.0
1;475.0;60;7;22;0.0
1;476.0;60;7;22;0.0
1;477.0;60;7;22;0.0
1;478.0;60;7;22;0.0
1;479.0;60;7;22;0.0
1;480.0;60;7;22;0.0
1;481.0;60;7;22;0.0
1;482.0;60;7;22;0.0
1;483.0;60;7;22;0.0
1;484.0;60;7;22;0.0
1;485.0;60;7;22;0.0
1;486.0;60;7;22;0.0
1;487.0;60;7;22;0.0
1;488.0;60;7;22;0.0
1;489.0;60;7;22;0.0
1;490.0;60;7;22;0.0
1;491.0;60;7;22;0.0
1;492.0;60;7;22;0.0
1;493.0;60;7;22;0.0
1;494.0;60;7;22;0.0
1;495.0;60;7;22;0.0
1;496.0;60;7;22;0.0
1;497.0;60;7;22;0.0
1;498.0;60;7;22;0.0
1;499.0;60;7;22;0.0
1;500.0;60;7;21;0.0
1;501.0;60;7;21;0.0
1;502.0;60;7;21;0.2
1;503.0;60;7;21;0.3
1;504.0;60;7;21;0.3
1;505.0;60;7;21;0.3
